Nr.,Stadtteil,Schüler/-innen an allgemeinbildenden Schulen,darunter Grundschule,darunter Hauptschule,darunter Realschule,darunter Gymnasium,darunter Gesamtschule,darunter Förderschule
101,Altstadt-Süd,5078,282,412,719,3293,0,372
102,Neustadt-Süd,1340,1075,0,0,0,0,0
103,Altstadt-Nord,2767,130,0,772,1865,0,0
104,Neustadt-Nord,3255,1092,0,0,1670,387,106
105,Deutz,2689,338,0,630,1495,0,226
201,Bayenthal,1496,414,0,0,1082,0,0
202,Marienburg,0,0,0,0,0,0,0
203,Raderberg,208,208,0,0,0,0,0
204,Raderthal,1181,0,0,0,0,1181,0
205,Zollstock,651,483,0,0,0,0,168
206,Rondorf,311,311,0,0,0,0,0
207,Hahnwald,78,0,0,0,0,78,0
208,Rodenkirchen,3415,559,323,0,1283,1250,0
209,Weiß,296,296,0,0,0,0,0
210,Sürth,338,338,0,0,0,0,0
211,Godorf,704,94,0,610,0,0,0
212,Immendorf,81,81,0,0,0,0,0
213,Meschenich,293,293,0,0,0,0,0
301,Klettenberg,513,513,0,0,0,0,0
302,Sülz,4497,508,0,958,2827,0,204
303,Lindenthal,3832,1153,0,0,2126,0,553
304,Braunsfeld,418,418,0,0,0,0,0
305,Müngersdorf,1094,169,0,391,0,0,534
306,Junkersdorf,522,522,0,0,0,0,0
307,Weiden,1910,428,315,0,1167,0,0
308,Lövenich,423,423,0,0,0,0,0
309,Widdersdorf,840,720,0,0,120,0,0
401,Ehrenfeld,1375,743,0,508,0,0,124
402,Neuehrenfeld,2580,730,410,594,846,0,0
403,Bickendorf,1622,357,328,0,783,0,154
404,Vogelsang,1119,381,0,428,0,0,310
405,Bocklemünd/Mengenich,1368,438,0,0,0,930,0
406,Ossendorf,642,642,0,0,0,0,0
501,Nippes,3647,946,402,1226,772,0,301
502,Mauenheim,262,262,0,0,0,0,0
503,Riehl,728,380,0,0,0,348,0
504,Niehl,1284,461,0,0,823,0,0
505,Weidenpesch,271,271,0,0,0,0,0
506,Longerich,672,529,0,0,0,0,143
507,Bilderstöckchen,1752,624,395,0,733,0,0
601,Merkenich,219,219,0,0,0,0,0
602,Fühlingen,0,0,0,0,0,0,0
603,Seeberg,1837,645,438,754,0,0,0
604,Heimersdorf,1110,576,534,0,0,0,0
605,Lindweiler,311,101,0,0,0,0,210
606,Pesch,984,206,0,0,778,0,0
607,Esch/Auweiler,250,250,0,0,0,0,0
608,Volkhoven/Weiler,1277,0,0,0,1277,0,0
609,Chorweiler,2519,378,0,0,0,1684,0
610,Blumenberg,256,256,0,0,0,0,0
611,Roggendorf/Thenhoven,173,173,0,0,0,0,0
612,Worringen,354,354,0,0,0,0,0
701,Poll,605,408,0,0,0,0,197
702,Westhoven,0,0,0,0,0,0,0
703,Ensen,360,360,0,0,0,0,0
704,Gremberghoven,170,170,0,0,0,0,0
705,Eil,529,172,357,0,0,0,0
706,Porz,2497,696,0,711,1090,0,0
707,Urbach,416,416,0,0,0,0,0
708,Elsdorf,0,0,0,0,0,0,0
709,Grengel,401,269,0,0,0,0,132
710,Wahnheide,388,254,0,0,0,0,134
711,Wahn,1710,390,0,646,674,0,0
712,Lind,0,0,0,0,0,0,0
713,Libur,0,0,0,0,0,0,0
714,Zündorf,2262,530,276,434,1022,0,0
715,Langel,108,108,0,0,0,0,0
716,Finkenberg,1775,264,0,0,0,1288,223
801,Humboldt/Gremberg,513,513,0,0,0,0,0
802,Kalk,2365,572,512,0,971,0,310
803,Vingst,770,770,0,0,0,0,0
804,Höhenberg,1589,204,428,0,0,957,0
805,Ostheim,1892,429,0,577,886,0,0
806,Merheim,423,423,0,0,0,0,0
807,Brück,933,425,0,508,0,0,0
808,Rath/Heumar,399,399,0,0,0,0,0
809,Neubrück,804,413,391,0,0,0,0
901,Mülheim,6242,1288,842,1472,2325,0,173
902,Buchforst,247,247,0,0,0,0,0
903,Buchheim,2276,684,0,22,1433,0,0
904,Holweide,2658,752,0,0,0,1849,57
905,Dellbrück,1438,710,268,460,0,0,0
906,Höhenhaus,2209,793,0,0,0,1272,144
907,Dünnwald,593,453,0,0,0,0,140
908,Stammheim,387,387,0,0,0,0,0
909,Flittard,449,213,0,0,0,0,236